MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60253.204764,15.112,0.007,3275,24,o,0,6.24,41.57554,-30.23949,261.39,6930.26,2.62,2.16,81.9,-0.367,19.45,20.96,04a60253o0373o
60253.209704,15.107,0.008,3291,25,o,0,12.09,41.57554,-30.23949,10088.47,6956.49,2.81,2.53,-20.8,-0.404,19.33,20.95,04a60253o0383o
60253.210605,15.138,0.008,3197,25,o,0,3.33,41.57554,-30.23949,205.23,6848.3,2.7,2.31,89.3,-0.358,19.38,20.96,04a60253o0385o
60256.185353,15.093,0.008,3333,26,o,0,22.17,41.57554,-30.23949,4097.66,6640.79,1.98,1.89,-41.0,-0.426,19.5,20.95,04a60256o0350o
60256.21521,15.111,0.008,3277,26,o,0,30.29,41.57554,-30.23949,4123.79,6649.19,1.91,1.73,-72.9,-0.419,19.53,20.89,04a60256o0414o
60256.21802,15.109,0.007,3283,24,o,0,41.57,41.57554,-30.23949,4065.41,6570.89,1.89,1.82,-62.7,-0.439,19.53,20.82,04a60256o0420o
60256.225357,15.124,0.008,3240,24,o,0,40.9,41.57554,-30.23949,4046.53,6680.05,1.94,1.86,-47.3,-0.436,19.49,20.83,04a60256o0436o
60257.927359,15.679,0.009,1942,18,c,0,6.32,41.57554,-30.23949,10150.9,588.49,2.64,2.3,-49.2,-0.419,19.81,21.9,03a60258o0328c
60257.930536,15.748,0.01,1823,18,c,0,5.23,41.57554,-30.23949,10170.36,629.05,2.66,2.33,-48.7,-0.411,19.79,21.9,03a60258o0335c
60257.93642,15.733,0.011,1848,20,c,0,4.0,41.57554,-30.23949,10111.91,547.9,2.62,2.31,-48.8,-0.425,19.76,21.91,03a60258o0347c
60257.939197,15.743,0.009,1831,17,c,0,4.39,41.57554,-30.23949,3252.07,10512.1,2.74,2.41,-47.7,-0.374,19.82,21.9,03a60258o0353c
60257.971265,15.729,0.01,1855,19,c,0,4.99,41.57554,-30.23949,10087.43,664.64,2.55,2.18,-52.1,-0.429,19.84,21.92,03a60258o0420c
60259.182686,15.118,0.008,3258,26,o,0,17.16,41.57554,-30.23949,10171.03,464.89,3.12,2.5,-27.1,-0.344,19.35,20.99,04a60259o0340o
60259.185884,15.147,0.009,3172,27,o,0,12.99,41.57554,-30.23949,10191.4,501.75,3.26,2.62,-31.5,-0.312,19.37,21.01,04a60259o0347o
60259.191468,15.148,0.008,3167,26,o,0,16.65,41.57554,-30.23949,10131.77,416.5,3.14,2.5,-31.2,-0.332,19.38,21.02,04a60259o0359o
60259.226415,15.14,0.008,3191,26,o,0,14.59,41.57554,-30.23949,10113.86,508.0,3.27,2.41,-28.7,-0.344,19.43,21.05,04a60259o0430o
60260.855701,15.725,0.01,1863,18,c,0,4.34,41.57554,-30.23949,3469.33,103.84,2.47,2.33,-66.7,-0.363,19.69,21.65,03a60261o0173c
60260.856602,15.781,0.011,1768,19,c,0,4.08,41.57554,-30.23949,6661.45,10365.0,2.97,2.48,-41.9,-0.374,19.7,21.66,03a60261o0175c
60260.858888,15.756,0.01,1809,19,c,0,3.13,41.57554,-30.23949,3450.78,64.36,2.5,2.41,-57.4,-0.353,19.69,21.68,03a60261o0180c
60260.859789,15.774,0.01,1780,19,c,0,3.27,41.57554,-30.23949,6641.74,10326.04,2.92,2.54,-48.0,-0.371,19.67,21.7,03a60261o0182c
60260.861631,15.753,0.01,1815,19,c,0,3.32,41.57554,-30.23949,3508.3,146.12,2.38,2.28,-51.8,-0.364,19.76,21.69,03a60261o0186c
60260.863451,15.764,0.011,1797,20,c,0,3.0,41.57554,-30.23949,6701.55,10406.25,2.82,2.42,-47.1,-0.375,19.75,21.7,03a60261o0190c
60260.886268,23.38,5.273,2,8,c,0,1.05,41.57554,-30.23949,3540.74,31.32,2.52,2.39,-47.0,-0.366,19.73,21.79,03a60261o0235c
60260.886719,15.738,0.011,1841,20,c,0,2.74,41.57554,-30.23949,6730.34,10291.73,2.83,2.43,-44.7,-0.379,19.77,21.8,03a60261o0236c
60262.180428,15.198,0.008,3026,23,o,0,13.63,41.57554,-30.23949,2051.32,4816.15,2.22,1.92,76.8,-0.41,19.45,20.95,04a60262o0323o
60262.18378,15.184,0.008,3065,24,o,0,7.17,41.57554,-30.23949,2072.55,4851.36,2.16,1.94,74.4,-0.408,19.51,20.95,04a60262o0330o
60262.190514,15.182,0.007,3070,23,o,0,9.0,41.57554,-30.23949,2015.08,4769.44,2.16,1.96,74.7,-0.403,19.49,21.06,04a60262o0343o
60262.226115,15.18,0.008,3077,24,o,0,7.28,41.57554,-30.23949,1998.91,4855.44,2.06,1.82,76.6,-0.409,19.49,21.02,04a60262o0417o
60265.155274,14.865,0.009,4111,37,o,0,66.66,41.57554,-30.23949,9338.12,8920.55,2.47,1.88,1.2,-0.445,19.35,20.79,04a60265o0273o
60265.158909,15.091,0.008,3338,28,o,0,44.01,41.57554,-30.23949,9358.88,8956.01,2.39,2.06,6.3,-0.448,19.37,20.71,04a60265o0281o
60265.172401,15.059,0.008,3439,28,o,0,29.01,41.57554,-30.23949,9302.87,8864.56,2.49,2.15,7.6,-0.464,19.42,20.81,04a60265o0309o
60265.17751,15.114,0.009,3269,28,o,0,22.33,41.57554,-30.23949,9283.6,8976.22,2.38,2.05,4.8,-0.438,19.44,20.83,04a60265o0320o
60268.157767,15.229,0.009,2940,25,o,0,12.47,41.57554,-30.23949,5320.57,8564.09,2.54,2.0,-73.9,-0.423,19.26,20.51,04a60268o0268o
60268.160683,15.159,0.009,3136,28,o,0,21.62,41.57554,-30.23949,5341.72,8600.07,2.11,1.9,-53.4,-0.421,19.35,20.55,04a60268o0274o
60268.165971,15.039,0.009,3504,30,o,0,11.68,41.57554,-30.23949,5285.37,8517.62,2.4,1.9,-72.7,-0.45,19.33,20.6,04a60268o0285o
60268.201167,15.116,0.009,3262,28,o,0,23.9,41.57554,-30.23949,5268.92,8604.59,2.21,1.94,-70.6,-0.45,19.33,20.65,04a60268o0360o
60269.813994,15.261,0.009,2854,27,o,0,5.87,41.57554,-30.23949,7881.34,7852.05,2.74,2.19,-45.4,-0.397,18.97,19.82,03a60270o0073o
60269.819412,15.241,0.01,2908,28,o,0,4.33,41.57554,-30.23949,7864.93,7810.52,2.62,2.15,-48.0,-0.4,18.99,19.85,03a60270o0083o
60269.821238,15.24,0.009,2911,28,o,0,7.14,41.57554,-30.23949,7922.27,7889.55,2.64,2.13,-45.2,-0.402,19.02,19.87,03a60270o0087o
60269.826696,15.238,0.01,2916,28,o,0,3.77,41.57554,-30.23949,7945.14,7773.99,2.71,2.24,-44.0,-0.4,18.97,19.87,03a60270o0099o
60272.910911,15.262,0.011,2853,32,o,0,1.65,41.57554,-30.23949,702.1,2778.03,2.51,2.15,-68.7,-0.377,18.63,19.16,03a60273o0273o
60272.914096,15.278,0.012,2810,34,o,0,2.28,41.57554,-30.23949,722.93,2817.54,2.54,2.28,-72.1,-0.369,18.61,19.17,03a60273o0280o
60272.919312,15.26,0.012,2859,34,o,0,2.67,41.57554,-30.23949,662.73,2739.29,2.56,2.21,-69.5,-0.376,18.59,19.19,03a60273o0291o
60272.930492,15.242,0.012,2906,36,o,0,1.64,41.57554,-30.23949,640.45,2854.59,2.5,2.15,-70.3,-0.372,18.49,18.96,03a60273o0314o
60274.156872,15.274,0.012,2822,34,o,0,5.02,41.57554,-30.23949,9992.36,4930.82,2.75,2.12,-11.5,-0.397,18.55,18.97,04a60274o0286o
60274.159253,15.28,0.013,2804,37,o,0,2.08,41.57554,-30.23949,93.71,4942.45,2.46,2.05,67.5,-0.34,18.53,18.98,04a60274o0291o
60274.159703,15.237,0.013,2919,39,o,0,3.94,41.57554,-30.23949,10009.31,4968.33,2.83,2.25,-17.9,-0.387,18.48,18.98,04a60274o0292o
60274.162419,15.288,0.012,2784,35,o,0,2.98,41.57554,-30.23949,114.16,4977.6,2.59,2.2,60.7,-0.339,18.51,18.98,04a60274o0298o
60274.165194,15.276,0.013,2815,37,o,0,5.36,41.57554,-30.23949,9950.93,4884.67,2.69,2.19,-14.8,-0.401,18.53,18.98,04a60274o0304o
60274.168377,15.192,0.013,3044,41,o,0,4.03,41.57554,-30.23949,55.34,4895.76,2.48,2.07,72.0,-0.345,18.57,18.99,04a60274o0311o
60274.175149,14.973,0.013,3724,49,o,0,8.97,41.57554,-30.23949,9930.82,4993.83,2.61,2.08,-15.2,-0.445,18.55,18.97,04a60274o0324o
60274.17877,-19.534,0.729,-56,41,o,0,1.25,41.57554,-30.23949,35.68,5003.75,2.51,2.07,59.9,-0.358,18.54,18.94,04a60274o0331o
60275.892648,15.274,0.011,2821,32,o,0,1.86,41.57554,-30.23949,8141.87,615.05,2.4,2.14,-56.2,-0.403,18.67,19.23,03a60276o0255o
60275.895838,15.29,0.012,2780,33,o,0,1.65,41.57554,-30.23949,8160.06,654.44,2.46,2.23,-57.1,-0.407,18.61,19.23,03a60276o0262o
60275.90098,15.319,0.011,2706,29,o,0,2.78,41.57554,-30.23949,8102.3,574.59,2.45,2.2,-51.8,-0.4,18.61,19.23,03a60276o0273o
60275.911492,15.295,0.012,2767,33,o,0,2.45,41.57554,-30.23949,8077.45,690.38,2.5,2.2,-54.0,-0.402,18.62,19.2,03a60276o0294o
60277.157546,15.286,0.01,2789,28,o,0,8.26,41.57554,-30.23949,8180.6,556.26,2.62,2.12,-35.6,-0.396,18.97,19.81,04a60277o0251o
60277.163113,15.292,0.011,2775,30,o,0,4.75,41.57554,-30.23949,8120.58,471.59,2.71,2.18,-36.1,-0.367,18.98,19.75,04a60277o0262o
60278.903046,15.281,0.008,2803,24,o,0,4.86,41.57554,-30.23949,2028.34,6658.6,2.23,1.95,-58.6,-0.422,19.32,20.26,03a60279o0248o
60278.905913,15.304,0.009,2743,24,o,0,5.56,41.57554,-30.23949,2047.66,6697.32,2.22,1.96,-56.1,-0.428,19.27,20.23,03a60279o0254o
60278.912338,15.301,0.009,2751,24,o,0,6.87,41.57554,-30.23949,1991.13,6618.65,2.22,1.98,-59.5,-0.432,19.27,20.18,03a60279o0268o
60278.922224,15.294,0.008,2768,23,o,0,7.14,41.57554,-30.23949,1967.65,6734.71,2.24,2.02,-56.8,-0.421,19.25,20.14,03a60279o0288o
60280.089397,15.319,0.005,2706,13,o,0,22.88,41.57554,-30.23949,9246.41,1819.63,2.94,2.34,-26.0,-0.349,20.21,21.02,04a60280o0037o
60280.093527,15.326,0.005,2690,13,o,0,25.51,41.57554,-30.23949,9232.47,1781.11,2.91,2.27,-23.2,-0.348,20.23,21.05,04a60280o0040o
60280.097876,15.334,0.005,2668,12,o,0,31.25,41.57554,-30.23949,9292.0,1856.58,3.07,2.24,-24.1,-0.344,20.19,21.03,04a60280o0043o
60281.796649,15.315,0.008,2718,23,o,0,9.06,41.57554,-30.23949,9226.53,1858.6,2.35,2.02,-58.2,-0.425,19.36,20.54,03a60282o0018o
60281.798923,15.362,0.009,2601,24,o,0,10.9,41.57554,-30.23949,9210.82,1820.07,2.36,1.97,-55.3,-0.429,19.38,20.6,03a60282o0023o
60281.802089,15.342,0.009,2650,24,o,0,8.65,41.57554,-30.23949,9265.31,1898.86,2.33,1.97,-53.2,-0.427,19.43,20.65,03a60282o0030o
60281.808933,15.319,0.008,2706,23,o,0,11.25,41.57554,-30.23949,9291.47,1783.64,2.32,1.99,-59.1,-0.432,19.42,20.68,03a60282o0045o
60283.070149,15.361,0.005,2604,12,o,0,24.67,41.57554,-30.23949,9237.48,1818.65,2.96,2.31,-21.7,-0.366,20.06,20.89,04a60283o0022o
60283.074319,15.365,0.005,2595,12,o,0,25.79,41.57554,-30.23949,9223.75,1780.77,2.99,2.31,-21.2,-0.36,20.06,20.91,04a60283o0025o
60283.078449,15.355,0.005,2617,13,o,0,25.77,41.57554,-30.23949,9282.63,1858.06,2.99,2.28,-22.6,-0.358,20.09,20.95,04a60283o0028o
60284.894407,15.358,0.008,2611,22,o,0,5.88,41.57554,-30.23949,3896.0,4665.67,2.32,2.1,-57.1,-0.407,19.55,21.14,03a60285o0226o
60284.897268,15.373,0.008,2575,21,o,0,4.62,41.57554,-30.23949,3913.05,4704.46,2.42,2.21,-61.1,-0.401,19.52,21.17,03a60285o0232o
60284.902944,15.386,0.008,2546,21,o,0,7.05,41.57554,-30.23949,3856.82,4626.12,2.39,2.21,-59.0,-0.406,19.52,21.15,03a60285o0244o
60284.913675,15.371,0.009,2581,22,o,0,4.52,41.57554,-30.23949,3837.57,4740.71,2.54,2.3,-59.0,-0.395,19.45,21.09,03a60285o0267o
60286.062295,15.447,0.005,2406,12,o,0,57.06,41.57554,-30.23949,5307.76,111.89,2.32,2.16,13.4,-0.416,20.17,21.03,04a60286o0053o
60286.063671,15.161,0.005,3130,16,o,0,32.69,41.57554,-30.23949,8881.85,10283.85,2.79,2.57,69.1,-0.409,20.17,21.05,04a60286o0054o
60286.066424,15.358,0.005,2611,14,o,0,44.91,41.57554,-30.23949,5290.89,72.78,2.27,2.14,14.9,-0.425,20.2,21.09,04a60286o0056o
60286.067801,15.148,0.005,3169,17,o,0,31.89,41.57554,-30.23949,8864.99,10244.98,2.72,2.48,24.4,-0.438,20.15,21.09,04a60286o0057o
60286.070554,15.429,0.005,2445,12,o,0,20.62,41.57554,-30.23949,5352.39,151.45,2.43,2.18,13.7,-0.394,20.17,21.09,04a60286o0059o
60286.073308,15.139,0.005,3194,15,o,0,51.03,41.57554,-30.23949,8930.92,10323.65,2.66,2.5,29.1,-0.445,20.16,21.11,04a60286o0061o
60289.062273,15.418,0.005,2471,12,o,0,10.03,41.57554,-30.23949,2557.2,3688.88,2.38,2.18,36.6,-0.398,20.16,21.09,04a60289o0014o
60289.066409,15.424,0.005,2456,12,o,0,12.84,41.57554,-30.23949,2543.64,3649.97,2.39,2.16,37.0,-0.395,20.14,21.11,04a60289o0017o
60289.070538,15.422,0.005,2461,12,o,0,18.21,41.57554,-30.23949,2605.97,3729.0,2.31,2.19,38.3,-0.395,20.16,21.09,04a60289o0020o
60290.05819,15.201,0.005,3016,15,o,0,33.12,41.57554,-30.23949,4633.36,10009.9,2.77,2.29,-71.8,-0.443,20.14,21.14,04a60290o0010o
60290.062325,15.203,0.005,3012,14,o,0,33.89,41.57554,-30.23949,4617.33,9970.87,2.83,2.22,-73.9,-0.419,20.12,21.12,04a60290o0013o
60290.06646,15.389,0.005,2538,13,o,0,27.83,41.57554,-30.23949,4680.44,10049.8,2.82,2.19,-74.8,-0.409,20.17,21.14,04a60290o0016o
60290.877824,15.448,0.01,2404,24,o,0,2.41,41.57554,-30.23949,6157.51,655.88,2.63,2.36,-56.8,-0.413,19.39,21.11,03a60291o0186o
60290.88117,15.442,0.01,2417,24,o,0,2.3,41.57554,-30.23949,6175.71,694.8,2.75,2.47,-58.9,-0.407,19.37,21.12,03a60291o0193o
60290.886733,15.442,0.009,2418,23,o,0,4.57,41.57554,-30.23949,6116.96,613.78,2.73,2.42,-58.6,-0.408,19.36,21.08,03a60291o0205o
60290.89659,15.443,0.009,2415,23,o,0,3.09,41.57554,-30.23949,6092.67,730.06,2.58,2.35,-54.3,-0.417,19.4,21.08,03a60291o0226o
60291.867812,15.454,0.009,2390,21,o,0,5.39,41.57554,-30.23949,6813.05,3105.32,2.48,2.17,-54.4,-0.42,19.47,21.09,03a60292o0164o
60291.870746,15.457,0.009,2384,22,o,0,5.44,41.57554,-30.23949,6831.69,3144.56,2.46,2.13,-54.7,-0.423,19.51,21.12,03a60292o0170o
60291.875914,15.435,0.009,2432,22,o,0,4.03,41.57554,-30.23949,6775.6,3065.36,2.49,2.14,-50.9,-0.418,19.51,21.16,03a60292o0181o
60291.887558,15.423,0.009,2459,22,o,0,3.57,41.57554,-30.23949,6753.45,3181.54,2.35,2.09,-56.2,-0.431,19.59,21.23,03a60292o0206o
60293.114037,15.476,0.009,2342,21,o,0,7.67,41.57554,-30.23949,6877.63,3031.75,2.41,2.13,-34.8,-0.409,19.38,21.15,04a60293o0100o
60293.117758,15.455,0.01,2389,23,o,0,4.46,41.57554,-30.23949,6897.45,3067.02,2.26,2.04,-38.3,-0.419,19.42,21.22,04a60293o0108o
60293.125078,15.461,0.009,2376,22,o,0,8.0,41.57554,-30.23949,6839.33,2983.49,2.29,2.09,-29.0,-0.418,19.47,21.29,04a60293o0124o
60293.134924,15.465,0.01,2366,23,o,0,4.37,41.57554,-30.23949,6819.5,3093.46,2.31,2.07,-31.0,-0.413,19.42,21.2,04a60293o0145o
60294.135832,15.441,0.01,2419,24,o,0,10.67,41.57554,-30.23949,6023.01,6487.33,2.18,1.98,-65.4,-0.421,19.37,21.02,04a60294o0176o
60294.139071,15.43,0.01,2444,24,o,0,12.49,41.57554,-30.23949,6043.2,6523.93,2.05,1.93,-47.2,-0.418,19.38,20.96,04a60294o0183o
60294.167259,15.428,0.01,2447,24,o,0,13.02,41.57554,-30.23949,5986.18,6433.64,1.96,1.81,-35.9,-0.437,19.35,20.74,04a60294o0242o
60294.196253,15.403,0.009,2504,23,o,0,15.27,41.57554,-30.23949,5958.08,6542.51,2.17,1.91,-68.2,-0.41,19.19,20.6,04a60294o0303o
60294.840318,15.491,0.009,2309,22,o,0,8.42,41.57554,-30.23949,5879.0,6551.63,2.43,2.14,-55.1,-0.409,19.49,20.97,03a60295o0098o
60294.843484,15.506,0.009,2278,21,o,0,10.02,41.57554,-30.23949,5896.83,6590.95,2.44,2.13,-55.5,-0.405,19.49,20.95,03a60295o0105o
60294.849399,15.496,0.009,2299,21,o,0,8.24,41.57554,-30.23949,5841.1,6512.16,2.43,2.14,-53.4,-0.406,19.49,20.94,03a60295o0117o
60294.859616,15.498,0.009,2294,21,o,0,8.27,41.57554,-30.23949,5818.05,6627.42,2.39,2.12,-55.7,-0.403,19.43,20.93,03a60295o0139o
60295.851067,15.506,0.009,2278,22,o,0,6.35,41.57554,-30.23949,5834.46,4622.46,2.45,2.12,-58.1,-0.414,19.42,20.79,03a60296o0120o
60295.854299,15.519,0.01,2252,21,o,0,7.13,41.57554,-30.23949,5852.79,4662.06,2.35,2.11,-58.5,-0.417,19.41,20.79,03a60296o0127o
60295.859828,15.523,0.01,2244,22,o,0,5.19,41.57554,-30.23949,5798.7,4583.47,2.36,2.15,-58.3,-0.408,19.39,20.78,03a60296o0139o
60295.870493,15.512,0.01,2265,22,o,0,5.87,41.57554,-30.23949,5775.05,4697.42,2.36,2.16,-61.4,-0.408,19.41,20.76,03a60296o0161o
60297.101465,15.559,0.012,2170,26,o,0,3.97,41.57554,-30.23949,5930.5,4575.6,2.34,2.14,-52.9,-0.423,19.03,20.29,04a60297o0109o
60297.104664,15.55,0.012,2189,26,o,0,4.49,41.57554,-30.23949,5949.72,4611.5,2.41,2.22,-35.6,-0.426,19.0,20.21,04a60297o0116o
60297.110322,15.536,0.012,2217,27,o,0,2.92,41.57554,-30.23949,5893.7,4529.37,2.26,2.11,-28.4,-0.442,19.04,20.18,04a60297o0127o
60297.120401,15.499,0.012,2293,27,o,0,2.87,41.57554,-30.23949,5873.55,4639.31,2.22,2.01,-38.5,-0.448,19.05,20.14,04a60297o0147o
60298.13451,15.481,0.012,2331,28,o,0,6.8,41.57554,-30.23949,7232.58,8430.62,2.39,2.18,-57.0,-0.417,19.05,20.32,04a60298o0181o
60298.137704,15.474,0.011,2346,25,o,0,12.37,41.57554,-30.23949,7249.53,8467.19,2.27,2.05,-19.3,-0.399,19.1,20.31,04a60298o0188o
60298.144584,15.489,0.012,2315,27,o,0,10.67,41.57554,-30.23949,7189.44,8385.88,2.26,2.02,-19.1,-0.414,19.1,20.28,04a60298o0203o
60298.154837,15.511,0.011,2268,25,o,0,19.41,41.57554,-30.23949,7171.05,8497.4,2.17,1.91,-15.8,-0.424,19.1,20.28,04a60298o0225o
60298.869376,15.554,0.011,2180,23,o,0,4.3,41.57554,-30.23949,7032.31,8529.8,2.7,2.24,-43.8,-0.401,19.1,20.14,03a60299o0160o
60298.873037,15.57,0.011,2147,24,o,0,4.82,41.57554,-30.23949,7049.12,8569.45,2.66,2.23,-42.7,-0.402,19.11,20.12,03a60299o0168o
60298.878295,15.564,0.012,2161,25,o,0,3.52,41.57554,-30.23949,6993.98,8489.68,2.6,2.14,-45.1,-0.408,19.08,20.01,03a60299o0179o
60298.888138,15.553,0.012,2182,26,o,0,2.93,41.57554,-30.23949,6973.74,8602.49,2.77,2.34,-46.7,-0.4,19.01,20.03,03a60299o0200o
60299.856303,15.575,0.012,2137,25,o,0,1.84,41.57554,-30.23949,4644.09,2662.18,2.27,2.08,-50.3,-0.428,19.01,19.84,03a60300o0130o
60299.860594,15.569,0.012,2150,26,o,0,1.93,41.57554,-30.23949,4662.45,2701.25,2.36,2.11,-55.6,-0.417,18.92,19.76,03a60300o0139o
60299.865686,15.559,0.012,2169,27,o,0,1.76,41.57554,-30.23949,4604.93,2621.9,2.39,2.13,-56.8,-0.416,18.89,19.75,03a60300o0150o
